zip_code,latitude,longitude,city,state,county,community,estimated median income
90018.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Jefferson Park, Leimert Park)","$41,768 "
90019.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Arlington Heights, Country Club Park, Mid-City)","$52,625 "
90020.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)","$46,504 "
90021.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Downtown Fashion District, Downtown Southeast)","$15,149 "
90022.0,33.896564,-118.176502,Los Angeles,CA,Los Angeles,East Los Angeles,"$43,366 "
90023.0,34.008262,-118.196055,Los Angeles,CA,Los Angeles,"Commerce, East Los Angeles","$41,308 "
90024.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Westwood),"$63,306 "
90025.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Sawtelle, West Los Angeles)","$83,655 "
90026.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Echo Park, Silver Lake)","$60,820 "
90027.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Griffith Park, Hollywood, Los Feliz)","$64,091 "
90028.0,34.014613,-118.225606,Los Angeles,CA,Los Angeles,Los Angeles (Hollywood),"$43,998 "
90029.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (East Hollywood),"$39,562 "
90031.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Lincoln Heights, Montecito Heights)","$44,343 "
90032.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (El Sereno, Monterey Hills)","$50,989 "
90033.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Boyle Heights),"$35,548 "
90034.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Palms),"$71,295 "
90035.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (West Fairfax),"$79,534 "
90036.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)","$80,998 "
90037.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (South Los Angeles),"$33,856 "
90038.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Hollywood),"$39,984 "
90039.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)","$86,031 "
90040.0,33.990863,-118.153153,Los Angeles,CA,Los Angeles,"Commerce, City of","$46,532 "
90041.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Eagle Rock),"$80,547 "
90042.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Highland Park),"$59,746 "
90043.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Hyde Park, View Park, Windsor Hills)","$47,500 "
90044.0,33.938108,-118.285706,Los Angeles,CA,Los Angeles,"Athens, Los Angeles (South Los Angeles)","$34,311 "
90045.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Los Angeles International Airport, Westchester)","$96,812 "
90046.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Hollywood), West Hollywood","$67,667 "
90047.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (South Los Angeles),"$47,477 "
90048.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Mid-City West), West Hollywood","$95,197 "
90049.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Bel Air Estates, Brentwood)","$127,658 "
90056.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Ladera Heights,"$86,100 "
90057.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Westlake),"$33,861 "
90058.0,33.999433,-118.213255,Los Angeles,CA,Los Angeles,"Los Angeles (Southeast Los Angeles), Vernon","$20,982 "
90059.0,33.921065000000006,-118.244955,Los Angeles,CA,Los Angeles,"Los Angeles (Southeast Los Angeles, Watts), Willowbrook","$41,995 "
90061.0,33.920965,-118.275356,Los Angeles,CA,Los Angeles,Los Angeles (South Los Angeles),"$39,739 "
90062.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (South Los Angeles),"$44,835 "
90063.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"City Terrace, Los Angeles (Boyle Heights)","$46,613 "
